Mandante	Material	Sales Organization	Distribution Channel	Grid Value	Core Assortment Start Date	Core Collection Start Date	Core Assortment End Date	Core Collection End Date
100	203489			N4Y499O		01/02/2021		31/08/2021
100	201862			2O552WJ		01/02/2021		31/08/2021
100	203490			08656IR		01/02/2021		31/08/2021
100	203490			80756IR		01/02/2021		31/08/2021
100	203495			80755M9		01/02/2021		31/08/2021
100	101499			XLT5116		01/02/2021		31/08/2021
100	101508			0T45017		01/02/2021		31/08/2021
100	103456			2845518		01/02/2021		31/08/2021
100	103460			QWU5317		01/02/2021		31/08/2021
100	103461			PEF5318		01/02/2021		31/08/2021
100	103461			RHL5318		01/02/2021		31/08/2021
100	103567			3H25217		01/02/2021		31/08/2021
100	103568			3H25317		01/02/2021		31/08/2021
100	103570			6OX5220		01/02/2021		31/08/2021
100	103567			12J5217		01/02/2021		31/08/2021
100	103567			AGD5217		01/02/2021		31/08/2021
100	103568			6OX5317		01/02/2021		31/08/2021
100	103568			9N45317		01/02/2021		31/08/2021
100	103569			12J5516		01/02/2021		31/08/2021
100	103569			7C55516		01/02/2021		31/08/2021
100	103570			7C55220		01/02/2021		31/08/2021
100	103570			KRZ5220		01/02/2021		31/08/2021
100	103567			AFO5217		01/02/2021		31/08/2021
100	100981			PJP5516		01/02/2021		31/08/2021
100	103102			08A5215		01/02/2021		31/08/2021
100	103104			V815616		01/02/2021		31/08/2021
100	103107			0035416		01/02/2021		31/08/2021
100	103107			8075416		01/02/2021		31/08/2021
100	103583			KB75614		01/02/2021		31/08/2021
100	103585			FLL5913		01/02/2021		31/08/2021
100	103717			0034921		01/02/2021		31/08/2021
100	103717			8074921		01/02/2021		31/08/2021
100	103717			C9A4921		01/02/2021		31/08/2021
100	103717			FLL4921		01/02/2021		31/08/2021
100	103722			FLL5738		01/02/2021		31/08/2021
100	103724			0035519		01/02/2021		31/08/2021
100	103729			DOH5021		01/02/2021		31/08/2021
100	103729			NOA5021		01/02/2021		31/08/2021
100	103729			RHL5021		01/02/2021		31/08/2021
100	103730			DOH5417		01/02/2021		31/08/2021
100	103730			Y3R5417		01/02/2021		31/08/2021
100	103731			8075315		01/02/2021		31/08/2021
100	103732			8075417		01/02/2021		31/08/2021
100	103732			9005417		01/02/2021		31/08/2021
100	103776			LKS5320		01/02/2021		31/08/2021
100	103793			DXL5216		01/02/2021		31/08/2021
100	103979			0035021		01/02/2021		31/08/2021
100	103979			FLL5021		01/02/2021		31/08/2021
100	103104			V815416		01/02/2021		31/08/2021
100	103107			0035216		01/02/2021		31/08/2021
100	103107			GEG5416		01/02/2021		31/08/2021
100	103715			0035517		01/02/2021		31/08/2021
100	103715			8075517		01/02/2021		31/08/2021
100	103715			KB75517		01/02/2021		31/08/2021
100	103715			PJP5517		01/02/2021		31/08/2021
100	103716			5174720		01/02/2021		31/08/2021
100	103716			PJP4720		01/02/2021		31/08/2021
100	103717			LZ64921		01/02/2021		31/08/2021
100	103718			FLL5517		01/02/2021		31/08/2021
100	103719			FLL5839		01/02/2021		31/08/2021
100	103720			0035418		01/02/2021		31/08/2021
100	103720			FLL5418		01/02/2021		31/08/2021
100	103721			0035717		01/02/2021		31/08/2021
100	103721			FLL5717		01/02/2021		31/08/2021
100	103722			0035517		01/02/2021		31/08/2021
100	103722			0035738		01/02/2021		31/08/2021
100	103722			3OL5517		01/02/2021		31/08/2021
100	103722			FLL5517		01/02/2021		31/08/2021
100	103722			WIR5517		01/02/2021		31/08/2021
100	103722			WIR5738		01/02/2021		31/08/2021
